id,number,name,tag,n_warn,par_status,par_afterbound,nfleets,startyr,endyr,n_seasons,ss_version,n_par_active,n_par_active_nd,n_par_total,log_det_hessian,mgc,nll,Catch,Equil_catch,Survey,Length_comp,SizeFreq,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,ltrend,runs,ar,sdr,sigmaR,steepness,M_m,L0_m,Linf_m,k_m,M_f,L0_f,Linf_f,k_f,F_2016,F_2022,SSB_virgin,SSB_Initial,SSB_2016,SSB_2022,MSY,SSB_MSY,F_MSY,B_Bmsy_2016,B_Bmsy_2022,F_Fmsy_2016,F_Fmsy_2022,R_virgin,R_initial,dep_st,dep_dyn_2016,dep_dyn_2022,mohns_rho_ssb,mohns_rho_f,average_xval_cpue_mase,average_xval_len_mase,Age_comp
10-CAAL,10,CAAL,,118,0.225,0.979,16,1952,2022,4,3.3,224,142,2605,,0,828.8,0.206,0,-26.468,111.031,752.246,-8.697,0,0.294,0,0.035,0,0,0.527,0.11,0.689,0.158,0.2,0.8,,,,0.898,0.36,64.127,213.333,0.898,2.349,1.888,"12,860.5","12,860.5",537.871,522.583,"2,225.65","2,863.84",0.855,0.188,0.182,2.349,1.888,120.05,120.05,0.055,0.044,0.043,,,,,0.153
11-CAAL-no-ageerr,11,CAAL-no-ageerr,,118,0.225,0.986,16,1952,2022,4,3.3,224,142,2605,,0,831.152,0.537,0,-25.51,111.237,751.504,-7.113,0,0.269,0,0.031,0,0,0.188,0.009,0.577,0.163,0.2,0.8,,,,0.878,0.36,67.303,212.577,0.878,2.666,2.218,"12,932.5","12,932.5",489.088,459.112,"2,318.56","2,870.73",0.82,0.17,0.16,2.666,2.218,123.795,123.795,0.046,0.04,0.036,,,,,0.198
12-CAAL-old-growth-SD,12,CAAL-old-growth-SD,,191,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,,0,837.225,0.805,0,-28.291,107.915,755.857,0.783,0,0.021,0,0.027,0,0,0.08,0,0.027,0.188,0.2,0.8,,,,0.461,0.36,77.318,220.58,0.461,1.785,1.067,11373,11373,881.701,"1,087.54","1,905.61","2,514.7",0.732,0.351,0.432,1.785,1.067,160.457,160.457,0.139,0.09,0.113,,,,,0.109
13-CAAL-noAgeerr-OGsd,13,CAAL-noAgeerr-OGsd,,191,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,,0,837.716,0.814,0,-28.349,108.387,755.85,0.822,0,0.021,0,0.028,0,0,0.073,0,0.027,0.189,0.2,0.8,,,,0.462,0.36,77.191,220.505,0.462,1.782,1.063,11353,11353,887.631,"1,100.55","1,904.03","2,514.64",0.722,0.353,0.438,1.782,1.063,160.291,160.291,0.141,0.091,0.115,,,,,0.144
14-CAAL-target-earlyF,14,CAAL-target-earlyF,,405,0.337,1,16,1952,2022,4,3.3,180,98,2605,,0,837.668,0.803,0,-28.321,108.327,755.876,0.791,0,0.021,0,0.027,0,0,0.074,0,0.027,0.188,0.2,0.8,,,,0.462,0.36,77.236,220.531,0.462,1.789,1.069,"11,362.6","11,362.6",883.655,"1,093.62","1,906.06","2,516.2",0.723,0.351,0.435,1.789,1.069,160.388,160.388,0.14,0.09,0.114,,,,,0.144
16-CAAL-rm-spike,16,CAAL-rm-spike,,170,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,,0,837.789,0.797,0,-27.684,107.972,755.946,0.602,0,0.02,0,0.028,0,0,0.085,0,0.026,0.188,0.2,0.8,,,,0.459,0.36,77.812,220.734,0.459,1.798,1.07,"11,396.3","11,396.3",874.808,"1,081.54","1,910.82","2,515.86",0.734,0.348,0.43,1.798,1.07,160.855,160.855,0.139,0.089,0.112,,,,,0.109
17-CAAL-noAU-ASPM,17,CAAL-noAU-ASPM,,170,0.217,0.986,16,1952,2022,4,3.3,220,138,2605,,0,490.749,0.531,0,-32.607,107.487,424.924,-9.741,0,0.019,0,0.023,0,0,0.365,0,0,0.153,0.2,0.8,,,,0.523,0.36,74.508,219.998,0.523,1.866,1.141,"11,957.5","11,957.5",829.001,"1,101.27","1,983.26","2,678.37",0.716,0.31,0.411,1.866,1.141,151.025,151.025,0.122,0.077,0.105,,,,,0.112
18-CAAL-cUnc-cv40,18,CAAL-cUnc-cv40,,170,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,,0,835.58,1.389,0,-28.595,107.699,754.594,0.338,0,0.021,0,0.028,0,0,0.141,0,0.034,0.188,0.2,0.8,,,,0.463,0.36,77.85,219.82,0.463,1.674,1.001,"11,087.1","11,087.1",935.693,"1,166.11","1,867.98","2,441.35",0.734,0.383,0.478,1.674,1.001,158.367,158.367,0.152,0.098,0.124,,,,,0.108
19-CAAL-1979,19,CAAL-1979,1979,7,0.895,1,15,1979,2022,4,3.3,93,38,171,,0,826.022,0,0.007,-20.777,108.469,723.495,14.67,0,0.02,0,0.025,0,0,0.758,0.166,0.103,0.206,0.2,0.8,,,,0.561,0.36,78.132,204.584,0.561,0.067,0.047,"42,455.2","35,265.3","32,650.1","37,618.9","7,926.84","8,916.11",0.702,3.662,4.219,0.067,0.047,766.898,757.248,0.987,0.857,0.892,,,,,0.112
20-CAAL-1979-estInitF,20,CAAL-1979-estInitF,,8,0.786,0.905,15,1979,2022,4,3.3,97,42,171,,0,825.738,0,0,-20.914,108.573,724.549,13.37,0,0.02,0,0.026,0,0,0.846,0.442,0.114,0.2,0.2,0.8,,,,0.576,0.36,77.312,203.493,0.576,0,0,178119000,178112000,161498000,179476000,33550600,37351300,0.721,4.324,4.805,0,0,3264470,3264460,1.104,1,1,,,,,0.115
21-CAAL-NZrecwtQtr,21,CAAL-NZrecwtQtr,NZrecwtQtr,204,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,,0,881.178,0.764,0,-28.19,107.961,799.763,0.724,0,0.02,0,0.027,0,0,0.09,0,0.029,0.188,0.2,0.8,,,,0.458,0.36,77.772,220.888,0.458,1.809,1.086,"11,422.3","11,422.3",870.931,"1,067.74","1,912.6","2,523.63",0.733,0.345,0.423,1.809,1.086,160.891,160.891,0.137,0.088,0.11,,,,,0.109
22-1979-estInitF-v2,22,1979-estInitF-v2,,7,0.907,1,15,1979,2022,4,3.3,98,43,174,,0,"1,395.75",0.001,0.062,-29.513,554.753,846.235,24.129,0,0.053,0,0.028,0,0,0.499,0.004,0,0.246,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.745,0.333,"12,279.7","2,645.84","2,295.48","4,432.24","1,989.32","2,736.94",0.69,0.839,1.619,0.745,0.333,132.132,107.637,0.478,0.239,0.398,,,,,
23-CAAL-2sex,23,CAAL-2sex,2sex,119,0.234,0.979,16,1952,2022,4,3.3,227,145,2612,,0,350.06,0.326,0,-27.311,104.981,275.717,-3.84,0,0.017,0,0.033,0,0,0.49,0,0.096,0.174,0.2,0.8,0.36,5,215.989,0.528,0.36,67.948,223.023,0.528,2.117,1.476,"6,858.98","6,858.98",382.691,437.179,"2,023.46","1,535.97",0.724,0.249,0.285,2.117,1.476,164.336,164.336,0.088,0.062,0.071,,,,,0.137
24-CAAL-Richards,24,CAAL-Richards,Richards,188,0.238,0.986,16,1952,2022,4,3.3,225,143,2606,,0,880.964,0.708,0,-27.943,108.326,799.451,0.266,0,0.02,0,0.026,0,0,0.122,0.002,0.035,0.187,0.2,0.8,,,,0.511,0.36,82.325,219.615,0.511,1.878,1.154,"11,492.6","11,492.6",832.891,995.117,"1,928.86","2,551.03",0.737,0.326,0.39,1.878,1.154,160.89,160.89,0.127,0.084,0.102,,,,,0.11
25-mls-base-1979-corrected,25,mls-base-1979-corrected,,8,0.8,0.875,15,1979,2022,4,3.3,95,40,178,,0,"33,891.9",0,4.662,86.452,"14,047.2","19,427.6",272.773,0,53.132,0,0.077,0,0,0.266,0,0,0.718,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.05,0.098,"67,142.8","58,739.3","64,321.3","41,727.9",10391,"15,443.1",0.501,4.165,2.702,0.05,0.098,722.47,716.067,0.575,0.899,0.877,,,,,
26-CAAL-maxAge-15,26,CAAL-maxAge-15,,182,0.232,0.993,16,1952,2022,4,3.3,224,142,2605,"1,076.09",0.004,836.63,0.741,0,-27.888,107.721,755.751,0.142,0,0.02,0,0.027,0,0,0.144,0.002,0.041,0.186,0.2,0.8,,,,0.447,0.36,78.551,222.491,0.447,1.919,1.183,"11,671.9","11,671.9",824.352,983.654,"1,933.93","2,585.4",0.732,0.319,0.38,1.919,1.183,161.81,161.81,0.123,0.081,0.099,,,,,0.115
27-CAAL-NZdblnorm,27,CAAL-NZdblnorm,NZdblnorm,133,0.236,0.986,16,1952,2022,4,3.3,226,144,2609,"1,087.58",0.009,838.607,0.745,0,-28.1,108.664,756.843,0.296,0,0.02,0,0.03,0,0,0.12,0.002,0.034,0.187,0.2,0.8,,,,0.454,0.36,77.641,221.837,0.454,1.853,1.143,"11,599.1","11,599.1",847.069,"1,020.4","1,929.77","2,565.01",0.731,0.33,0.398,1.853,1.143,161.486,161.486,0.129,0.084,0.103,,,,,0.109
28-CAAL-noNZrec-ASPM,28,CAAL-noNZrec-ASPM,,170,0.221,0.986,16,1952,2022,4,3.3,222,140,2605,"1,042.89",0.081,778.173,0.05,0,-26.67,106.312,701.581,-3.261,0,0.019,0,0.029,0,0,0.446,0,0.17,0.177,0.2,0.8,,,,0.372,0.36,86.458,232.996,0.372,2.382,1.625,"13,500.5","13,500.5",695.682,755.237,"2,121.09","3,027.88",0.713,0.23,0.249,2.382,1.625,174.227,174.227,0.081,0.058,0.064,,,,,0.114
29-CAAL-ASPM-all,29,CAAL-ASPM-all,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
30-CAAL-cUnc-cv2,30,CAAL-cUnc-cv2,,394,0.337,1,16,1952,2022,4,3.3,180,98,2605,444.358,0,833.995,1.048,0,-29.012,107.711,753.491,0.604,0,0.02,0,0.027,0,0,0.133,0,0.027,0.189,0.2,0.8,,,,0.468,0.36,78.175,218.696,0.468,1.54,0.903,"10,853.7","10,853.7","1,016.97","1,300.27","1,841.57","2,379.44",0.726,0.427,0.546,1.54,0.903,157.45,157.45,0.172,0.109,0.143,,,,,0.107
31-CAAL-revASPM-01,31,CAAL-revASPM-01,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
32-CAAL-revASPM-02,32,CAAL-revASPM-02,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,038.22",0,34.935,0.073,0,-31.902,0,86.7,-19.936,0,0,0,0,0,0,0.55,0,0,0.109,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.701,0.868,"11,825.1","11,825.1",867.797,"1,615.19","1,984.4","2,620.33",0.74,0.331,0.616,1.701,0.868,166.834,166.834,0.159,0.08,0.149,,,,,0
33-CAAL-revASPM-03,33,CAAL-revASPM-03,,168,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,050.51",0,-6.655,0.097,0,-31.61,14.028,33.851,-23.021,0,0,0,0,0,0,0.641,0,0,0.091,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.569,0.814,"11,758.9","11,758.9",964.255,"1,772.99","1,969.66","2,604.77",0.732,0.37,0.681,1.569,0.814,165.901,165.901,0.175,0.09,0.166,,,,,0
34-CAAL-revASPM-04,34,CAAL-revASPM-04,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
35-CAAL-revASPM-05,35,CAAL-revASPM-05,,170,0.01,0.886,16,1952,2022,4,3.3,187,105,2605,"1,660.59",0.261,-52.077,0,0,-31.598,8.176,0,-28.656,0,0,0,0,0,0,0.038,0,0,0.042,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0.057,0.051,"62,284.4","62,284.4","49,458.4","53,561.1","10,094.4","13,707.5",0.616,3.608,3.907,0.057,0.051,878.742,878.742,0.871,0.864,0.891,,,,,0
36-CAAL-revASPM-06,36,CAAL-revASPM-06,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,067.28",0.054,297.05,0.136,0,-27.875,0,335.92,-11.13,0,0,0,0,0,0,0.06,0,0.058,0.149,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.775,0.943,"11,608.8","11,608.8",870.597,"1,284.4","1,945.66","2,568.62",0.733,0.339,0.5,1.775,0.943,163.783,163.783,0.155,0.086,0.128,,,,,0
37-CAAL-revASPM-07,37,CAAL-revASPM-07,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,053.81",0,140.495,0.108,0,-30.636,0,188.943,-17.919,0,0,0,0,0,0,0.261,0,0,0.119,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.732,1.031,"11,692.2","11,692.2",891.329,"1,139.61","1,960.84","2,586.93",0.736,0.345,0.441,1.732,1.031,164.959,164.959,0.139,0.086,0.115,,,,,0
38-CAAL-revASPM-08,38,CAAL-revASPM-08,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
39-CAAL-revASPM-09,39,CAAL-revASPM-09,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,042.77",0,2.517,0.075,0,-31.582,0,56.607,-22.619,0,0,0,0,0,0,0.675,0,0,0.094,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.726,0.88,"11,825.7","11,825.7",852.151,"1,586.36","1,985.12","2,620.59",0.741,0.325,0.605,1.726,0.88,166.843,166.843,0.156,0.079,0.146,,,,,0.035
40-CAAL-revASPM-10,40,CAAL-revASPM-10,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,103.54",0,24.003,0.626,0,-32.237,21.778,54.521,-20.734,0,0,0,0,0,0,0.723,0,0,0.103,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.684,0.871,11683,11683,882.935,"1,620.94","1,958.95","2,588.03",0.736,0.341,0.626,1.684,0.871,164.83,164.83,0.161,0.083,0.151,,,,,0.05
41-CAAL-revASPM-11,41,CAAL-revASPM-11,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,041.97",0,-17.667,0.067,0,-30.936,37.039,0,-23.851,0,0.013,0,0,0,0,0.661,0,0,0.086,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.762,0.871,"11,866.6","11,866.6",834.204,"1,660.18","1,992.98","2,630.36",0.744,0.317,0.631,1.762,0.871,167.42,167.42,0.156,0.076,0.149,,,,,0
42-CAAL-revASPM-12,42,CAAL-revASPM-12,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,027.21",0,-55.144,0.036,0,-30.702,0,0,-24.505,0,0,0,0,0,0,0.937,0,0,0.081,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,2.105,1.057,"12,215.8","12,215.8",661.459,"1,226.44","2,060.6","2,709.38",0.763,0.244,0.453,2.105,1.057,172.347,172.347,0.118,0.057,0.107,,,,,0.027
43-CAAL-revASPM-13,43,CAAL-revASPM-13,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
44-CAAL-revASPM-14,44,CAAL-revASPM-14,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,182.17",0.001,-28.138,0.012,0,-31.719,28.621,0,-25.052,0,0,0,0,0,0,0.141,0,0,0.077,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0.509,0.364,"13,818.5","13,818.5","4,079.11","5,625.88","2,268.93","3,049.16",0.657,1.338,1.845,0.509,0.364,194.958,194.958,0.435,0.337,0.448,,,,,0
45-CAAL-revASPM-15,45,CAAL-revASPM-15,,171,0,0.01,16,1952,2022,4,3.3,187,105,2605,0,0.354,-60.605,0,0,-31.523,0,0,-29.082,0,0,0,0,0,0,0.448,0,0,0.036,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,231422000,231422000,215395000,223554000,37441700,50914300,0.611,4.231,4.391,0,0,3265030,3265030,0.972,1,1,,,,,0
46-CAAL-revASPM-16,46,CAAL-revASPM-16,,170,0.01,0.971,16,1952,2022,4,3.3,187,105,2605,"1,378.05",0.247,-50.041,0.001,0,-31.391,0,9.09,-27.741,0,0,0,0,0,0,0.45,0,0,0.053,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0.208,0.176,"21,894.5","21,894.5",12015,"13,972.1","3,564.37","4,822.6",0.629,2.491,2.897,0.208,0.176,308.899,308.899,0.656,0.607,0.679,,,,,0
47-CAAL-oneFleet-02,47,CAAL-oneFleet-02,,169,0.046,0.982,16,1952,2022,4,3.3,191,109,2605,"1,003.86",0,34.345,0.046,0,-31.7,0,86.205,-20.206,0,0,0,0,0,0,0.753,0,0,0.108,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.965,0.993,"12,070.2","12,070.2",726.366,"1,356.36","2,037.05","2,679.04",0.77,0.271,0.506,1.965,0.993,170.293,170.293,0.132,0.064,0.121,,,,,0
48-CAAL-oneFleet-03,48,CAAL-oneFleet-03,,170,0.046,0.046,16,1952,2022,4,3.3,191,109,2605,0,0.035,-10.822,0,0,-31.581,13.957,35.665,-28.864,0,0,0,0.001,0,0,0.879,0,0,0.039,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,0,0,60242200,60242200,56108000,58205200,9729650,13215100,0.608,4.246,4.404,0,0,849929,849929,0.972,1,1,,,,,0
49-CAAL-oneFleet-06,49,CAAL-oneFleet-06,,170,0.037,0.982,16,1952,2022,4,3.3,191,109,2605,0,0.012,295.832,0.039,0,-26.342,0,335.535,-13.404,0,0,0,0.004,0,0,0.751,0,0.429,0.139,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,2.489,1.429,"12,214.9","12,214.9",580.665,758.192,"2,069.07","2,708.38",0.766,0.214,0.28,2.489,1.429,172.334,172.334,0.088,0.052,0.068,,,,,0
50-CAAL-oneFleet-07,50,CAAL-oneFleet-07,,170,0.037,0.982,16,1952,2022,4,3.3,191,109,2605,"1,034.89",0,140.056,0.039,0,-28.473,0,188.151,-19.665,0,0,0,0.004,0,0,0.732,0,0,0.11,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,2.305,1.533,"12,202.1","12,202.1",628.669,695.266,"2,065.12","2,706.22",0.77,0.232,0.257,2.305,1.533,172.153,172.153,0.081,0.056,0.064,,,,,0
51-CAAL-oneFleet-09,51,CAAL-oneFleet-09,,169,0.046,0.982,16,1952,2022,4,3.3,191,109,2605,"1,027.61",0,2.188,0.039,0,-31.204,0,56.475,-23.158,0,0,0,0,0,0,0.832,0,0,0.09,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,2.042,1.026,"12,115.2","12,115.2",687.751,"1,277.63","2,042.03","2,686.69",0.759,0.256,0.476,2.042,1.026,170.927,170.927,0.124,0.061,0.113,,,,,0.036
52-CAAL-oneFleet-10,52,CAAL-oneFleet-10,,169,0.028,0.981,16,1952,2022,4,3.3,189,107,2605,"1,096.44",0,23.981,0.554,0,-32.212,21.875,54.49,-20.779,0,0,0,0.002,0,0,0.749,0,0,0.103,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.76,0.9,"11,712.7","11,712.7",839.967,"1,542.33","1,966.25","2,596.25",0.745,0.324,0.594,1.76,0.9,165.249,165.249,0.153,0.078,0.143,,,,,0.05
53-CAAL-oneFleet-11,53,CAAL-oneFleet-11,,169,0.01,0.981,16,1952,2022,4,3.3,187,105,2605,"1,041.97",0,-17.667,0.067,0,-30.936,37.039,0,-23.851,0,0.013,0,0,0,0,0.661,0,0,0.086,0.2,0.8,,,,0.461,0.36,77.318,220.581,0.461,1.762,0.871,"11,866.6","11,866.6",834.204,"1,660.18","1,992.98","2,630.36",0.744,0.317,0.631,1.762,0.871,167.42,167.42,0.156,0.076,0.149,,,,,0
54-CAAL-exdblnorm,54,CAAL-exdblnorm,exdblnorm,14,0.178,0.6,16,1952,2022,4,3.3,217,135,2609,0,1.343,"3,009.61",0,0,-13.35,369.282,"2,386.13",247.907,0,19.494,0,0.039,0,0,0.454,0,0.09,0.566,0.2,0.8,,,,0.99,0.36,54.611,197.106,0.99,0.002,0.003,216620000,216620000,333373000,182662000,467931,214875000,30,1.551,0.85,0.002,0.003,3246140,3246140,0.783,1,1,,,,,0.109
55-CAAL-NZdblnorm-01,55,CAAL-NZdblnorm-01,,146,0.232,0.986,16,1952,2022,4,3.3,224,142,2609,"1,098.56",0,838.972,0.789,0,-28.261,108.725,756.998,0.563,0,0.02,0,0.028,0,0,0.094,0,0.029,0.188,0.2,0.8,,,,0.462,0.36,77.015,220.629,0.462,1.831,1.103,"11,421.3","11,421.3",864.524,"1,057.4","1,919.56","2,528.06",0.723,0.342,0.418,1.831,1.103,160.913,160.913,0.135,0.087,0.109,,,,,0.109
