"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Bratio_2007" "Bratio_2007" 0.605813 0.129042 -3.0547 0.00112648
"Bratio_2008" "Bratio_2008" 0.627844 0.138098 -2.69486 0.00352094
"Bratio_2009" "Bratio_2009" 0.620548 0.139643 -2.7173 0.00329089
"Bratio_2010" "Bratio_2010" 0.664602 0.135164 -2.48142 0.00654306
"Bratio_2011" "Bratio_2011" 0.63766 0.123003 -2.94577 0.00161081
"Bratio_2012" "Bratio_2012" 0.519851 0.106068 -4.52679 2.99719e-06
"Bratio_2013" "Bratio_2013" 0.427366 0.0916347 -6.2491 2.07288e-10
"Bratio_2014" "Bratio_2014" 0.456931 0.0859597 -6.31771 1.33317e-10
"Bratio_2015" "Bratio_2015" 0.392225 0.077838 -7.80821 2.92782e-15
"Bratio_2016" "Bratio_2016" 0.351186 0.0755246 -8.59077 4.37488e-18
"Bratio_2017" "Bratio_2017" 0.363244 0.0788894 -8.0715 3.50866e-16
"Bratio_2018" "Bratio_2018" 0.408125 0.086908 -6.81037 4.89603e-12
"Bratio_2019" "Bratio_2019" 0.403143 0.0882505 -6.76321 6.78683e-12
"Bratio_2020" "Bratio_2020" 0.371501 0.0891726 -7.04812 9.12812e-13
"Bratio_2021" "Bratio_2021" 0.354041 0.0997667 -6.47469 4.77331e-11
"Bratio_2022" "Bratio_2022" 0.434633 0.13898 -4.06799 2.37225e-05
"Bratio_2023" "Bratio_2023" 0.633471 0.215344 -1.70206 0.0443721
"SSB_unfished" "SSB_unfished" 11362.6 300.832 NA NA
"Totbio_unfished" "Totbio_unfished" 17215 581.641 NA NA
"SmryBio_unfished" "SmryBio_unfished" 17215 581.641 NA NA
"Recr_unfished" "Recr_unfished" 160.388 4.24637 NA NA
"SSB_Btgt" "SSB_Btgt" 3408.79 90.2497 NA NA
"SPR_Btgt" "SPR_Btgt" 0.34375 8.24689e-18 NA NA
"annF_Btgt" "annF_Btgt" 0.544585 0.0326766 NA NA
"Dead_Catch_Btgt" "Dead_Catch_Btgt" 1855.74 62.2198 NA NA
"SSB_SPR" "SSB_SPR" 2878.54 76.2109 NA NA
"annF_SPR" "annF_SPR" 0.642543 0.0392926 NA NA
"Dead_Catch_SPR" "Dead_Catch_SPR" 1896.69 62.0226 NA NA
"SSB_MSY" "SSB_MSY" 2516.2 91.5504 NA NA
"SPR_MSY" "SPR_MSY" 0.270105 0.00264069 NA NA
"annF_MSY" "annF_MSY" 0.723358 0.0435231 NA NA
"Dead_Catch_MSY" "Dead_Catch_MSY" 1906.06 61.1909 NA NA
"Ret_Catch_MSY" "Ret_Catch_MSY" 1906.06 61.1909 NA NA
"B_MSY/SSB_unfished" "B_MSY/SSB_unfished" 0.221445 0.00281674 NA NA
"ForeCatch_2023" "ForeCatch_2023" 1393.33 77.2477 NA NA
"OFLCatch_2023" "OFLCatch_2023" 1393.33 77.2477 NA NA
"ln(SPB)_1952" "ln(SPB)_1952" 9.3675 0.0822127 NA NA
"ln(SPB)_1987" "ln(SPB)_1987" 7.36154 0.179196 NA NA
"ln(SPB)_2022" "ln(SPB)_2022" 6.99725 0.310173 NA NA
