"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_2014" "SPRratio_2014" 1.22567 0.028922 7.8026 1
"SPRratio_2015" "SPRratio_2015" 1.22404 0.0316061 7.08857 1
"SPRratio_2016" "SPRratio_2016" 1.1588 0.0414617 3.83014 0.999936
"SPRratio_2017" "SPRratio_2017" 1.1268 0.0482084 2.63024 0.995734
"SPRratio_2018" "SPRratio_2018" 1.1644 0.0462687 3.5531 0.99981
"SPRratio_2019" "SPRratio_2019" 1.13018 0.0545018 2.3885 0.991541
"SPRratio_2020" "SPRratio_2020" 1.10416 0.0594005 1.7535 0.960242
"SPRratio_2021" "SPRratio_2021" 1.10728 0.0642602 1.66944 0.952485
"SPRratio_2022" "SPRratio_2022" 1.03229 0.082079 0.393343 0.652967
"SPRratio_2023" "SPRratio_2023" 1.03229 0.082079 0.393343 0.652967
"F_1952" "F_1952" 0.0144092 0.00138565 -711.285 0
"F_1953" "F_1953" 0.178853 0.0404454 -20.3026 6.59711e-92
"F_1954" "F_1954" 1.5438 0.441585 1.23147 0.890926
"F_1955" "F_1955" 0.983234 0.284736 -0.0588839 0.476522
"F_1956" "F_1956" 0.790462 0.213092 -0.983323 0.162724
"F_1957" "F_1957" 0.706845 0.189468 -1.54725 0.0609009
"F_1958" "F_1958" 1.25181 0.331921 0.758638 0.775966
"F_1959" "F_1959" 1.14894 0.31165 0.477923 0.683648
"F_1960" "F_1960" 1.26239 0.328193 0.799498 0.787999
"F_1961" "F_1961" 2.33658 0.627489 2.13004 0.983416
"F_1962" "F_1962" 2.45678 0.683039 2.13279 0.983529
"F_1963" "F_1963" 3.09003 0.839416 2.48986 0.99361
"F_1964" "F_1964" 1.69113 0.446334 1.54847 0.939245
"F_1965" "F_1965" 1.88167 0.483539 1.82337 0.965877
"F_1966" "F_1966" 2.7911 0.938464 1.90855 0.97184
"F_1967" "F_1967" 1.37346 0.417567 0.894381 0.814441
"F_1968" "F_1968" 0.958428 0.253878 -0.163748 0.434965
"F_1969" "F_1969" 0.863427 0.227973 -0.599073 0.274562
"F_1970" "F_1970" 1.93934 0.521605 1.80086 0.964138
"F_1971" "F_1971" 2.93671 0.874536 2.21456 0.986605
"F_1972" "F_1972" 3.02693 0.863645 2.34695 0.990536
"F_1973" "F_1973" 2.74741 0.758698 2.30317 0.989365
"F_1974" "F_1974" 2.48186 0.761844 1.9451 0.974119
"F_1975" "F_1975" 1.81784 0.536608 1.5241 0.936258
"F_1976" "F_1976" 1.6214 0.472514 1.3151 0.905762
"F_1977" "F_1977" 0.752604 0.196912 -1.25638 0.104489
"F_1978" "F_1978" 1.28304 0.253614 1.11604 0.867798
"F_1979" "F_1979" 1.43289 0.314593 1.37602 0.915592
"F_1980" "F_1980" 1.03248 0.212949 0.152527 0.560614
"F_1981" "F_1981" 2.03765 0.369154 2.81088 0.99753
"F_1982" "F_1982" 3.0241 0.686938 2.94656 0.998393
"F_1983" "F_1983" 1.9896 0.478773 2.06696 0.980631
"F_1984" "F_1984" 1.81103 0.347248 2.33558 0.990244
"F_1985" "F_1985" 1.70125 0.346152 2.02583 0.978609
"F_1986" "F_1986" 1.4802 0.308985 1.55412 0.939922
"F_1987" "F_1987" 1.22087 0.233417 0.946258 0.827992
"F_1988" "F_1988" 1.51483 0.285854 1.80104 0.964152
"F_1989" "F_1989" 2.73199 0.58513 2.96001 0.998462
"F_1990" "F_1990" 2.01808 0.43435 2.34393 0.990459
"F_1991" "F_1991" 1.45229 0.291967 1.54912 0.939324
"F_1992" "F_1992" 1.02795 0.187111 0.149375 0.559371
"F_1993" "F_1993" 1.30602 0.247919 1.23437 0.891467
"F_1994" "F_1994" 2.20104 0.426508 2.81599 0.997569
"F_1995" "F_1995" 2.07981 0.434148 2.48719 0.993562
"F_1996" "F_1996" 1.62877 0.307003 2.0481 0.979725
"F_1997" "F_1997" 1.36716 0.229763 1.59801 0.94498
"F_1998" "F_1998" 2.32446 0.405064 3.26975 0.999462
"F_1999" "F_1999" 2.34689 0.402303 3.34795 0.999593
"F_2000" "F_2000" 2.14333 0.346652 3.29821 0.999513
"F_2001" "F_2001" 1.95132 0.325616 2.92161 0.998259
"F_2002" "F_2002" 1.76115 0.281575 2.70319 0.996566
"F_2003" "F_2003" 2.58299 0.430226 3.67943 0.999883
"F_2004" "F_2004" 2.41341 0.394457 3.58318 0.99983
"F_2005" "F_2005" 2.2429 0.387887 3.20429 0.999323
"F_2006" "F_2006" 1.95005 0.345875 2.74681 0.996991
"F_2007" "F_2007" 1.76152 0.30637 2.48562 0.993534
"F_2008" "F_2008" 2.11466 0.357017 3.12214 0.999102
"F_2009" "F_2009" 1.95818 0.33268 2.8802 0.998013
"F_2010" "F_2010" 1.97248 0.323919 3.00225 0.99866
"F_2011" "F_2011" 2.31444 0.373717 3.51721 0.999782
"F_2012" "F_2012" 2.44247 0.410419 3.51462 0.99978
"F_2013" "F_2013" 1.83715 0.326124 2.56696 0.99487
"F_2014" "F_2014" 2.03562 0.294776 3.51324 0.999779
"F_2015" "F_2015" 2.29386 0.4066 3.18214 0.999269
"F_2016" "F_2016" 2.10516 0.444604 2.48572 0.993535
"F_2017" "F_2017" 1.54357 0.288198 1.88609 0.970359
"F_2018" "F_2018" 1.65631 0.322322 2.03618 0.979134
"F_2019" "F_2019" 1.47806 0.317207 1.50708 0.934105
"F_2020" "F_2020" 1.22738 0.25606 0.887979 0.812724
"F_2021" "F_2021" 1.36312 0.321696 1.12878 0.870504
