"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_1957" "SPRratio_1957" 0.902003 0.0900936 -1.08773 0.138358
"SPRratio_1958" "SPRratio_1958" 1.08798 0.0673529 1.3063 0.904275
"SPRratio_1959" "SPRratio_1959" 1.04318 0.0731469 0.590357 0.722524
"SPRratio_1960" "SPRratio_1960" 1.06685 0.0664316 1.00624 0.842849
"SPRratio_1961" "SPRratio_1961" 1.21425 0.0431487 4.96531 1
"SPRratio_1962" "SPRratio_1962" 1.22134 0.043678 5.06746 1
"SPRratio_1963" "SPRratio_1963" 1.25431 0.0363109 7.00379 1
"SPRratio_1964" "SPRratio_1964" 1.1221 0.0606606 2.01276 0.97793
"SPRratio_1965" "SPRratio_1965" 1.16449 0.0549651 2.99259 0.998617
"SPRratio_1966" "SPRratio_1966" 1.22055 0.0545185 4.04539 0.999974
"SPRratio_1967" "SPRratio_1967" 1.08848 0.0780064 1.13433 0.871671
"SPRratio_1968" "SPRratio_1968" 0.964328 0.0863181 -0.413262 0.339707
"SPRratio_1969" "SPRratio_1969" 0.916283 0.0903386 -0.926703 0.17704
"SPRratio_1970" "SPRratio_1970" 1.17638 0.0562811 3.13394 0.999138
"SPRratio_1971" "SPRratio_1971" 1.22252 0.0472777 4.70672 0.999999
"SPRratio_1972" "SPRratio_1972" 1.20288 0.0482576 4.2041 0.999987
"SPRratio_1973" "SPRratio_1973" 1.19346 0.0529468 3.65384 0.999871
"SPRratio_1974" "SPRratio_1974" 1.16846 0.0622894 2.70445 0.996579
"SPRratio_1975" "SPRratio_1975" 1.12573 0.0720585 1.7449 0.959499
"SPRratio_1976" "SPRratio_1976" 1.08951 0.0774774 1.15528 0.876012
"SPRratio_1977" "SPRratio_1977" 0.872653 0.0980336 -1.29902 0.096969
"SPRratio_1978" "SPRratio_1978" 1.11479 0.0601784 1.90742 0.971767
"SPRratio_1979" "SPRratio_1979" 1.09704 0.0642482 1.51044 0.934534
"SPRratio_1980" "SPRratio_1980" 0.982595 0.0709718 -0.245234 0.403138
"SPRratio_1981" "SPRratio_1981" 1.1867 0.0412197 4.52931 0.999997
"SPRratio_1982" "SPRratio_1982" 1.22345 0.0398601 5.60597 1
"SPRratio_1983" "SPRratio_1983" 1.11565 0.0550685 2.10015 0.982142
"SPRratio_1984" "SPRratio_1984" 1.13044 0.0496819 2.62549 0.995674
"SPRratio_1985" "SPRratio_1985" 1.14822 0.0527023 2.81244 0.997542
"SPRratio_1986" "SPRratio_1986" 1.10982 0.0589371 1.8633 0.96879
"SPRratio_1987" "SPRratio_1987" 1.07246 0.0629904 1.15033 0.874996
"SPRratio_1988" "SPRratio_1988" 1.13455 0.0531173 2.53301 0.994346
