"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_2023" "Recr_2023" 101.792 25.3895 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0227351 0.00178055 -548.855 0
"SPRratio_1953" "SPRratio_1953" 0.43272 0.0723496 -7.84082 2.2596e-15
"SPRratio_1954" "SPRratio_1954" 1.1405 0.0623705 2.2527 0.987861
"SPRratio_1955" "SPRratio_1955" 1.02191 0.0816956 0.268139 0.605704
"SPRratio_1956" "SPRratio_1956" 0.960028 0.0841807 -0.474833 0.317453
"SPRratio_1957" "SPRratio_1957" 0.914496 0.0891225 -0.959402 0.168678
"SPRratio_1958" "SPRratio_1958" 1.097 0.0653614 1.48407 0.931104
"SPRratio_1959" "SPRratio_1959" 1.05425 0.0711932 0.761954 0.776956
"SPRratio_1960" "SPRratio_1960" 1.07765 0.0644249 1.2053 0.885956
"SPRratio_1961" "SPRratio_1961" 1.22012 0.0409426 5.37634 1
"SPRratio_1962" "SPRratio_1962" 1.22803 0.0404434 5.63821 1
"SPRratio_1963" "SPRratio_1963" 1.25988 0.0324917 7.99831 1
"SPRratio_1964" "SPRratio_1964" 1.13376 0.0528397 2.53138 0.994319
"SPRratio_1965" "SPRratio_1965" 1.17381 0.0466208 3.72807 0.999903
"SPRratio_1966" "SPRratio_1966" 1.22862 0.0445364 5.13328 1
"SPRratio_1967" "SPRratio_1967" 1.10787 0.0626599 1.72152 0.957422
"SPRratio_1968" "SPRratio_1968" 0.987547 0.0698571 -0.17826 0.429259
"SPRratio_1969" "SPRratio_1969" 0.94052 0.0728335 -0.816653 0.207063
"SPRratio_1970" "SPRratio_1970" 1.1929 0.0430824 4.47746 0.999996
"SPRratio_1971" "SPRratio_1971" 1.23846 0.0341548 6.98169 1
"SPRratio_1972" "SPRratio_1972" 1.22199 0.033352 6.65595 1
"SPRratio_1973" "SPRratio_1973" 1.2154 0.0350834 6.13958 1
"SPRratio_1974" "SPRratio_1974" 1.19756 0.037331 5.29213 1
"SPRratio_1975" "SPRratio_1975" 1.16394 0.040899 4.00849 0.999969
"SPRratio_1976" "SPRratio_1976" 1.13535 0.0420562 3.21822 0.999355
"SPRratio_1977" "SPRratio_1977" 0.941006 0.0559956 -1.05355 0.146045
"SPRratio_1978" "SPRratio_1978" 1.1626 0.0298699 5.44357 1
"SPRratio_1979" "SPRratio_1979" 1.14717 0.0319427 4.60716 0.999998
"SPRratio_1980" "SPRratio_1980" 1.02535 0.0379333 0.668284 0.748024
"SPRratio_1981" "SPRratio_1981" 1.19251 0.0230732 8.34356 1
"SPRratio_1982" "SPRratio_1982" 1.21278 0.0227767 9.34215 1
"SPRratio_1983" "SPRratio_1983" 1.11179 0.0319498 3.49889 0.999766
"SPRratio_1984" "SPRratio_1984" 1.13496 0.0288038 4.68533 0.999999
"SPRratio_1985" "SPRratio_1985" 1.15246 0.0281548 5.41496 1
"SPRratio_1986" "SPRratio_1986" 1.13155 0.0283006 4.64829 0.999998
"SPRratio_1987" "SPRratio_1987" 1.13021 0.0303837 4.28559 0.999991
"SPRratio_1988" "SPRratio_1988" 1.19187 0.0268912 7.13502 1
"SPRratio_1989" "SPRratio_1989" 1.2446 0.0202614 12.0721 1
"SPRratio_1990" "SPRratio_1990" 1.18642 0.0265539 7.02031 1
"SPRratio_1991" "SPRratio_1991" 1.13363 0.0319668 4.18035 0.999985
"SPRratio_1992" "SPRratio_1992" 1.07983 0.0364444 2.19044 0.985754
"SPRratio_1993" "SPRratio_1993" 1.11032 0.034443 3.20287 0.99932
"SPRratio_1994" "SPRratio_1994" 1.21545 0.0243763 8.83852 1
"SPRratio_1995" "SPRratio_1995" 1.16664 0.0271657 6.13408 1
"SPRratio_1996" "SPRratio_1996" 1.13657 0.0280883 4.86205 0.999999
"SPRratio_1997" "SPRratio_1997" 1.13247 0.027796 4.76596 0.999999
"SPRratio_1998" "SPRratio_1998" 1.19756 0.0206089 9.58598 1
"SPRratio_1999" "SPRratio_1999" 1.19071 0.0225672 8.45093 1
"SPRratio_2000" "SPRratio_2000" 1.15175 0.0265391 5.71809 1
"SPRratio_2001" "SPRratio_2001" 1.11066 0.0274614 4.02964 0.999972
"SPRratio_2002" "SPRratio_2002" 1.14302 0.0238599 5.99429 1
"SPRratio_2003" "SPRratio_2003" 1.22473 0.0188396 11.9283 1
"SPRratio_2004" "SPRratio_2004" 1.23188 0.0196957 11.7733 1
"SPRratio_2005" "SPRratio_2005" 1.19558 0.0239245 8.175 1
"SPRratio_2006" "SPRratio_2006" 1.15656 0.0274491 5.70365 1
"SPRratio_2007" "SPRratio_2007" 1.13784 0.0300067 4.59371 0.999998
"SPRratio_2008" "SPRratio_2008" 1.17697 0.026974 6.56091 1
"SPRratio_2009" "SPRratio_2009" 1.14955 0.0272509 5.488 1
"SPRratio_2010" "SPRratio_2010" 1.14875 0.0254544 5.84369 1
"SPRratio_2011" "SPRratio_2011" 1.20045 0.0213404 9.393 1
"SPRratio_2012" "SPRratio_2012" 1.22361 0.0198005 11.2932 1
"SPRratio_2013" "SPRratio_2013" 1.15069 0.0240393 6.26857 1
"SPRratio_2014" "SPRratio_2014" 1.23766 0.0169132 14.0516 1
"SPRratio_2015" "SPRratio_2015" 1.23811 0.0178404 13.3469 1
"SPRratio_2016" "SPRratio_2016" 1.19078 0.0227006 8.40433 1
"SPRratio_2017" "SPRratio_2017" 1.16798 0.0251952 6.66722 1
"SPRratio_2018" "SPRratio_2018" 1.20747 0.0217168 9.55327 1
"SPRratio_2019" "SPRratio_2019" 1.2043 0.0237171 8.61404 1
"SPRratio_2020" "SPRratio_2020" 1.21603 0.0278603 7.75418 1
"SPRratio_2021" "SPRratio_2021" 1.20803 0.0373966 5.56284 1
"SPRratio_2022" "SPRratio_2022" 1.12874 0.0630213 2.04278 0.979463
"SPRratio_2023" "SPRratio_2023" 1.12874 0.0630213 2.04278 0.979463
"F_1952" "F_1952" 0.0133138 0.00131326 -751.328 0
"F_1953" "F_1953" 0.19544 0.0444447 -18.1025 1.62709e-73
"F_1954" "F_1954" 1.6977 0.482966 1.44461 0.925716
"F_1955" "F_1955" 1.07913 0.309683 0.255505 0.600833
"F_1956" "F_1956" 0.859194 0.229335 -0.613974 0.269616
"F_1957" "F_1957" 0.757969 0.202425 -1.19566 0.115915
"F_1958" "F_1958" 1.34459 0.356529 0.966523 0.833109
"F_1959" "F_1959" 1.23899 0.338797 0.705398 0.759719
"F_1960" "F_1960" 1.36049 0.359703 1.00218 0.841873
"F_1961" "F_1961" 2.50427 0.687042 2.18949 0.985719
"F_1962" "F_1962" 2.65645 0.752204 2.20212 0.986172
"F_1963" "F_1963" 3.35445 0.916754 2.56825 0.994889
"F_1964" "F_1964" 1.82931 0.483832 1.71404 0.95674
"F_1965" "F_1965" 2.02674 0.512317 2.00412 0.977472
"F_1966" "F_1966" 3.02687 0.971472 2.08639 0.981528
"F_1967" "F_1967" 1.51342 0.434976 1.18034 0.881068
"F_1968" "F_1968" 1.05418 0.265637 0.203961 0.580808
"F_1969" "F_1969" 0.949643 0.241262 -0.208725 0.417332
"F_1970" "F_1970" 2.18364 0.553608 2.13805 0.983744
"F_1971" "F_1971" 3.42539 0.968862 2.50334 0.993849
"F_1972" "F_1972" 3.60231 0.962808 2.70284 0.996562
"F_1973" "F_1973" 3.29391 0.833302 2.75279 0.997045
"F_1974" "F_1974" 3.04757 0.834133 2.45473 0.99295
"F_1975" "F_1975" 2.23643 0.55639 2.22223 0.986866
"F_1976" "F_1976" 2.03861 0.509301 2.03928 0.979289
"F_1977" "F_1977" 0.923127 0.185302 -0.414851 0.339126
"F_1978" "F_1978" 1.58179 0.227042 2.56249 0.994804
"F_1979" "F_1979" 1.82266 0.292878 2.80887 0.997514
"F_1980" "F_1980" 1.22713 0.181907 1.24858 0.894091
"F_1981" "F_1981" 2.20935 0.296416 4.07991 0.999977
"F_1982" "F_1982" 2.93522 0.454531 4.25761 0.99999
"F_1983" "F_1983" 1.90224 0.312083 2.89102 0.99808
"F_1984" "F_1984" 1.90711 0.281028 3.22783 0.999376
"F_1985" "F_1985" 1.83045 0.262814 3.15985 0.999211
"F_1986" "F_1986" 1.69428 0.236946 2.93014 0.998306
"F_1987" "F_1987" 1.64031 0.241286 2.65373 0.99602
"F_1988" "F_1988" 2.23063 0.371675 3.31103 0.999535
"F_1989" "F_1989" 3.54009 0.589042 4.31225 0.999992
"F_1990" "F_1990" 2.41228 0.386163 3.65722 0.999872
"F_1991" "F_1991" 1.82666 0.287463 2.87572 0.997984
"F_1992" "F_1992" 1.30199 0.191406 1.57773 0.942686
"F_1993" "F_1993" 1.67229 0.298331 2.2535 0.987886
"F_1994" "F_1994" 2.73356 0.481998 3.5966 0.999839
"F_1995" "F_1995" 2.53975 0.475601 3.23747 0.999397
"F_1996" "F_1996" 2.09313 0.334602 3.26696 0.999456
"F_1997" "F_1997" 1.85195 0.267164 3.18887 0.999286
"F_1998" "F_1998" 2.58985 0.319006 4.98375 1
"F_1999" "F_1999" 2.19013 0.262352 4.53639 0.999997
"F_2000" "F_2000" 1.78619 0.218881 3.59187 0.999836
"F_2001" "F_2001" 1.46186 0.160255 2.88205 0.998024
"F_2002" "F_2002" 1.50831 0.153393 3.3138 0.99954
"F_2003" "F_2003" 2.36552 0.255362 5.34739 1
"F_2004" "F_2004" 2.36948 0.28678 4.77538 0.999999
"F_2005" "F_2005" 2.24694 0.303688 4.10597 0.99998
"F_2006" "F_2006" 1.87537 0.251754 3.47707 0.999746
"F_2007" "F_2007" 1.66514 0.224921 2.95723 0.998448
"F_2008" "F_2008" 1.95949 0.269413 3.56141 0.999816
"F_2009" "F_2009" 1.66757 0.216153 3.0884 0.998994
"F_2010" "F_2010" 1.66 0.200565 3.29072 0.9995
"F_2011" "F_2011" 2.048 0.233571 4.48686 0.999996
"F_2012" "F_2012" 2.31466 0.26862 4.89413 1
"F_2013" "F_2013" 1.84984 0.2231 3.80925 0.99993
"F_2014" "F_2014" 2.19816 0.211553 5.66366 1
"F_2015" "F_2015" 2.50191 0.27008 5.56099 1
"F_2016" "F_2016" 2.38158 0.297748 4.64008 0.999998
"F_2017" "F_2017" 1.8597 0.219899 3.90952 0.999954
"F_2018" "F_2018" 2.04291 0.236358 4.41243 0.999995
"F_2019" "F_2019" 2.04979 0.254493 4.12503 0.999981
"F_2020" "F_2020" 2.03647 0.302053 3.43142 0.9997
"F_2021" "F_2021" 2.36356 0.479648 2.84284 0.997764
"F_2022" "F_2022" 1.62503 0.423714 1.47511 0.929909
"F_2023" "F_2023" 1.62503 0.423714 1.47511 0.929909
"Bratio_1953" "Bratio_1953" 4.44856 0.3703 9.31287 1
"Bratio_1954" "Bratio_1954" 4.00384 0.371696 8.08145 1
"Bratio_1955" "Bratio_1955" 1.66678 0.47737 1.39677 0.918758
"Bratio_1956" "Bratio_1956" 1.32649 0.391496 0.833962 0.797849
"Bratio_1957" "Bratio_1957" 1.31696 0.33761 0.938834 0.826092
"Bratio_1958" "Bratio_1958" 1.34464 0.317404 1.08581 0.861218
"Bratio_1959" "Bratio_1959" 1.02424 0.284926 0.0850812 0.533902
"Bratio_1960" "Bratio_1960" 0.939374 0.257192 -0.235724 0.406823
"Bratio_1961" "Bratio_1961" 0.878236 0.227844 -0.534418 0.296526
"Bratio_1962" "Bratio_1962" 0.536834 0.175282 -2.6424 0.00411603
"Bratio_1963" "Bratio_1963" 0.416785 0.13417 -4.34685 6.91064e-06
"Bratio_1964" "Bratio_1964" 0.311708 0.10399 -6.61882 1.81992e-11
"Bratio_1965" "Bratio_1965" 0.433839 0.11755 -4.81635 7.32013e-07
"Bratio_1966" "Bratio_1966" 0.422383 0.127065 -4.54586 2.73827e-06
"Bratio_1967" "Bratio_1967" 0.299272 0.118295 -5.92358 1.58039e-09
"Bratio_1968" "Bratio_1968" 0.440364 0.130404 -4.29155 8.8779e-06
"Bratio_1969" "Bratio_1969" 0.602602 0.157734 -2.51942 0.0058774
"Bratio_1970" "Bratio_1970" 0.707486 0.186717 -1.56662 0.0586022
"Bratio_1971" "Bratio_1971" 0.484827 0.155212 -3.31916 0.000451502
"Bratio_1972" "Bratio_1972" 0.342868 0.107306 -6.1239 4.58328e-10
"Bratio_1973" "Bratio_1973" 0.347063 0.0925885 -7.05203 8.87493e-13
"Bratio_1974" "Bratio_1974" 0.333581 0.0914379 -7.28822 1.58219e-13
"Bratio_1975" "Bratio_1975" 0.337214 0.0924022 -7.17284 3.69891e-13
"Bratio_1976" "Bratio_1976" 0.384777 0.0960935 -6.40234 7.68613e-11
"Bratio_1977" "Bratio_1977" 0.425344 0.101993 -5.63426 8.8145e-09
