"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_1970" "SPRratio_1970" 1.16533 0.0518205 3.19045 0.99929
"SPRratio_1971" "SPRratio_1971" 1.21276 0.0432734 4.91669 1
"SPRratio_1972" "SPRratio_1972" 1.19269 0.0433746 4.44246 0.999996
"SPRratio_1973" "SPRratio_1973" 1.18206 0.0454882 4.00236 0.999969
"SPRratio_1974" "SPRratio_1974" 1.15466 0.0501478 3.08412 0.998979
"SPRratio_1975" "SPRratio_1975" 1.10936 0.0550535 1.98648 0.97651
"SPRratio_1976" "SPRratio_1976" 1.07174 0.0546891 1.31184 0.905213
"SPRratio_1977" "SPRratio_1977" 0.852445 0.0634142 -2.32685 0.00998653
"SPRratio_1978" "SPRratio_1978" 1.10013 0.0340646 2.93931 0.998355
"SPRratio_1979" "SPRratio_1979" 1.07188 0.0331269 2.16981 0.984989
"SPRratio_1980" "SPRratio_1980" 0.933109 0.0342894 -1.95076 0.0255426
"SPRratio_1981" "SPRratio_1981" 1.13793 0.0216469 6.37174 1
"SPRratio_1982" "SPRratio_1982" 1.1584 0.0228971 6.91794 1
"SPRratio_1983" "SPRratio_1983" 1.02985 0.0319714 0.933704 0.824772
"SPRratio_1984" "SPRratio_1984" 1.05855 0.0290193 2.01752 0.978179
"SPRratio_1985" "SPRratio_1985" 1.07601 0.0308353 2.46514 0.993152
"SPRratio_1986" "SPRratio_1986" 1.04504 0.0365835 1.23104 0.890846
"SPRratio_1987" "SPRratio_1987" 1.03278 0.0407873 0.803744 0.789228
"SPRratio_1988" "SPRratio_1988" 1.1086 0.0340721 3.18741 0.999282
"SPRratio_1989" "SPRratio_1989" 1.19303 0.0270103 7.14655 1
"SPRratio_1990" "SPRratio_1990" 1.11571 0.0398283 2.90518 0.998165
"SPRratio_1991" "SPRratio_1991" 1.03562 0.0483171 0.737124 0.769476
"SPRratio_1992" "SPRratio_1992" 0.969978 0.0501186 -0.599017 0.274581
"SPRratio_1993" "SPRratio_1993" 1.01558 0.0457037 0.340926 0.63342
"SPRratio_1994" "SPRratio_1994" 1.15563 0.0340485 4.57091 0.999998
"SPRratio_1995" "SPRratio_1995" 1.09349 0.0406205 2.30157 0.98932
"SPRratio_1996" "SPRratio_1996" 1.04159 0.0431723 0.963367 0.832318
"SPRratio_1997" "SPRratio_1997" 1.03524 0.0410366 0.858714 0.804751
"SPRratio_1998" "SPRratio_1998" 1.16723 0.0305968 5.4656 1
"SPRratio_1999" "SPRratio_1999" 1.18407 0.0287418 6.40421 1
"SPRratio_2000" "SPRratio_2000" 1.17018 0.0321045 5.30068 1
"SPRratio_2001" "SPRratio_2001" 1.14389 0.036239 3.97054 0.999964
"SPRratio_2002" "SPRratio_2002" 1.13824 0.0347119 3.98242 0.999966
"SPRratio_2003" "SPRratio_2003" 1.2154 0.0265099 8.12525 1
"SPRratio_2004" "SPRratio_2004" 1.2061 0.0272801 7.55512 1
"SPRratio_2005" "SPRratio_2005" 1.16414 0.0335041 4.89904 1
"SPRratio_2006" "SPRratio_2006" 1.13052 0.0381263 3.42325 0.999691
"SPRratio_2007" "SPRratio_2007" 1.11116 0.0394398 2.81858 0.997588
"SPRratio_2008" "SPRratio_2008" 1.16485 0.0344027 4.79169 0.999999
"SPRratio_2009" "SPRratio_2009" 1.14989 0.035279 4.24868 0.999989
"SPRratio_2010" "SPRratio_2010" 1.1474 0.0352721 4.17891 0.999985
"SPRratio_2011" "SPRratio_2011" 1.1878 0.0313537 5.98973 1
"SPRratio_2012" "SPRratio_2012" 1.19504 0.0315944 6.17336 1
"SPRratio_2013" "SPRratio_2013" 1.09596 0.0420129 2.28396 0.988813
"SPRratio_2014" "SPRratio_2014" 1.19417 0.0320608 6.05618 1
"SPRratio_2015" "SPRratio_2015" 1.18851 0.0356455 5.28836 1
"SPRratio_2016" "SPRratio_2016" 1.11245 0.0456973 2.46069 0.993067
"SPRratio_2017" "SPRratio_2017" 1.07436 0.0508073 1.46348 0.928332
"SPRratio_2018" "SPRratio_2018" 1.11376 0.0481696 2.36158 0.990901
"SPRratio_2019" "SPRratio_2019" 1.07265 0.0551735 1.31681 0.906048
"SPRratio_2020" "SPRratio_2020" 1.04503 0.057944 0.7771 0.78145
"SPRratio_2021" "SPRratio_2021" 1.04723 0.0607513 0.777486 0.781564
"SPRratio_2022" "SPRratio_2022" 0.963588 0.0732038 -0.497399 0.309454
"SPRratio_2023" "SPRratio_2023" 0.963588 0.0732038 -0.497399 0.309454
"F_1952" "F_1952" 0.0153 0.00125525 -784.462 0
"F_1953" "F_1953" 0.188721 0.0417686 -19.4232 2.64482e-84
"F_1954" "F_1954" 1.5965 0.44509 1.34019 0.909908
"F_1955" "F_1955" 1.03059 0.290735 0.105218 0.541898
"F_1956" "F_1956" 0.827112 0.217927 -0.793327 0.213794
"F_1957" "F_1957" 0.736017 0.193735 -1.3626 0.0865051
"F_1958" "F_1958" 1.29101 0.336442 0.864974 0.806473
"F_1959" "F_1959" 1.18286 0.316633 0.577512 0.718203
"F_1960" "F_1960" 1.2897 0.332982 0.870023 0.807856
"F_1961" "F_1961" 2.34202 0.627223 2.13962 0.983807
"F_1962" "F_1962" 2.42929 0.679019 2.10493 0.982351
"F_1963" "F_1963" 3.01283 0.832862 2.41677 0.99217
