"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_2023" "Recr_2023" 248.361 58.4452 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0244501 0.00219581 -444.277 0
"SPRratio_1953" "SPRratio_1953" 0.423738 0.0701811 -8.21108 1.10824e-16
"SPRratio_1954" "SPRratio_1954" 1.0739 0.0576451 1.28197 0.900074
"SPRratio_1955" "SPRratio_1955" 0.942364 0.0684255 -0.842318 0.199805
"SPRratio_1956" "SPRratio_1956" 0.886394 0.0733137 -1.54959 0.0606205
"SPRratio_1957" "SPRratio_1957" 0.840366 0.0810774 -1.96891 0.0244814
"SPRratio_1958" "SPRratio_1958" 1.02237 0.06332 0.353277 0.63806
"SPRratio_1959" "SPRratio_1959" 0.963921 0.0707255 -0.510134 0.304979
"SPRratio_1960" "SPRratio_1960" 0.985418 0.0693933 -0.210136 0.416781
"SPRratio_1961" "SPRratio_1961" 1.1318 0.0507737 2.59577 0.995281
"SPRratio_1962" "SPRratio_1962" 1.11767 0.0557349 2.11133 0.982628
"SPRratio_1963" "SPRratio_1963" 1.148 0.0523072 2.8294 0.997668
"SPRratio_1964" "SPRratio_1964" 0.962708 0.0747145 -0.49913 0.308844
"SPRratio_1965" "SPRratio_1965" 1.0106 0.0642285 0.165099 0.565567
"SPRratio_1966" "SPRratio_1966" 1.0553 0.0630049 0.87771 0.80995
"SPRratio_1967" "SPRratio_1967" 0.895903 0.0773478 -1.34583 0.0891791
"SPRratio_1968" "SPRratio_1968" 0.789053 0.0769565 -2.74111 0.00306161
"SPRratio_1969" "SPRratio_1969" 0.75582 0.0720385 -3.38957 0.000350061
"SPRratio_1970" "SPRratio_1970" 1.06258 0.0529657 1.18154 0.881306
"SPRratio_1971" "SPRratio_1971" 1.12233 0.0515068 2.37498 0.991225
"SPRratio_1972" "SPRratio_1972" 1.11151 0.0586692 1.90071 0.97133
"SPRratio_1973" "SPRratio_1973" 1.09562 0.060845 1.57148 0.941964
"SPRratio_1974" "SPRratio_1974" 1.03722 0.0612256 0.607842 0.728354
"SPRratio_1975" "SPRratio_1975" 0.974888 0.063585 -0.39494 0.346444
"SPRratio_1976" "SPRratio_1976" 0.949091 0.0637169 -0.798991 0.212148
"SPRratio_1977" "SPRratio_1977" 0.745117 0.0756655 -3.36855 0.000377883
"SPRratio_1978" "SPRratio_1978" 1.02878 0.0576039 0.499609 0.691325
"SPRratio_1979" "SPRratio_1979" 0.994591 0.0623104 -0.0868015 0.465415
"SPRratio_1980" "SPRratio_1980" 0.856909 0.0675647 -2.11784 0.0170942
"SPRratio_1981" "SPRratio_1981" 1.07913 0.0447739 1.76738 0.961418
"SPRratio_1982" "SPRratio_1982" 1.09888 0.0461662 2.14176 0.983894
"SPRratio_1983" "SPRratio_1983" 0.96053 0.0634225 -0.622327 0.266863
"SPRratio_1984" "SPRratio_1984" 0.995051 0.0571133 -0.0866499 0.465475
"SPRratio_1985" "SPRratio_1985" 1.01037 0.0556491 0.186382 0.573927
"SPRratio_1986" "SPRratio_1986" 0.987068 0.0600446 -0.215372 0.414739
"SPRratio_1987" "SPRratio_1987" 0.985362 0.0630948 -0.232002 0.408268
"SPRratio_1988" "SPRratio_1988" 1.07074 0.053827 1.31428 0.905624
"SPRratio_1989" "SPRratio_1989" 1.14958 0.0421968 3.54476 0.999803
"SPRratio_1990" "SPRratio_1990" 1.06148 0.0572823 1.07331 0.858434
"SPRratio_1991" "SPRratio_1991" 0.985556 0.0671015 -0.21526 0.414782
"SPRratio_1992" "SPRratio_1992" 0.92578 0.0683098 -1.08652 0.138625
"SPRratio_1993" "SPRratio_1993" 0.973671 0.0602745 -0.43682 0.331121
"SPRratio_1994" "SPRratio_1994" 1.12501 0.0439565 2.84387 0.997771
"SPRratio_1995" "SPRratio_1995" 1.08249 0.0515981 1.59876 0.945062
"SPRratio_1996" "SPRratio_1996" 1.06118 0.0545095 1.12232 0.869136
"SPRratio_1997" "SPRratio_1997" 1.05347 0.055038 0.971574 0.834369
"SPRratio_1998" "SPRratio_1998" 1.12836 0.0426689 3.00817 0.998686
"SPRratio_1999" "SPRratio_1999" 1.10982 0.0482046 2.27828 0.988645
"SPRratio_2000" "SPRratio_2000" 1.06519 0.0545971 1.19406 0.883773
"SPRratio_2001" "SPRratio_2001" 1.03385 0.0528463 0.640615 0.739114
"SPRratio_2002" "SPRratio_2002" 1.07573 0.0442133 1.71283 0.956628
"SPRratio_2003" "SPRratio_2003" 1.17143 0.0328838 5.21334 1
"SPRratio_2004" "SPRratio_2004" 1.16876 0.037651 4.48221 0.999996
"SPRratio_2005" "SPRratio_2005" 1.11816 0.0486969 2.42651 0.992378
"SPRratio_2006" "SPRratio_2006" 1.06554 0.0571889 1.14602 0.874106
"SPRratio_2007" "SPRratio_2007" 1.03268 0.0608408 0.53718 0.704428
"SPRratio_2008" "SPRratio_2008" 1.07931 0.0540431 1.46752 0.928883
"SPRratio_2009" "SPRratio_2009" 1.06264 0.0524533 1.19426 0.883813
"SPRratio_2010" "SPRratio_2010" 1.06949 0.0488128 1.42358 0.922716
"SPRratio_2011" "SPRratio_2011" 1.13184 0.041787 3.15507 0.999198
"SPRratio_2012" "SPRratio_2012" 1.15958 0.0402442 3.96523 0.999963
"SPRratio_2013" "SPRratio_2013" 1.07834 0.0508482 1.54075 0.938311
"SPRratio_2014" "SPRratio_2014" 1.17902 0.0380139 4.70923 0.999999
"SPRratio_2015" "SPRratio_2015" 1.17069 0.0426173 4.0051 0.999969
"SPRratio_2016" "SPRratio_2016" 1.10594 0.0545676 1.94148 0.9739
"SPRratio_2017" "SPRratio_2017" 1.08183 0.0574029 1.42549 0.922992
"SPRratio_2018" "SPRratio_2018" 1.13779 0.0501966 2.74505 0.996975
"SPRratio_2019" "SPRratio_2019" 1.1291 0.0578289 2.23251 0.98721
"SPRratio_2020" "SPRratio_2020" 1.12712 0.0687602 1.84879 0.967756
"SPRratio_2021" "SPRratio_2021" 1.10545 0.0789067 1.33635 0.909282
"SPRratio_2022" "SPRratio_2022" 0.995707 0.102321 -0.0419533 0.483268
"SPRratio_2023" "SPRratio_2023" 0.995707 0.102321 -0.0419533 0.483268
"F_1952" "F_1952" 0.0156754 0.00194955 -504.898 0
"F_1953" "F_1953" 0.217726 0.0537642 -14.5501 3.05265e-48
"F_1954" "F_1954" 1.49159 0.35672 1.37808 0.91591
"F_1955" "F_1955" 0.938382 0.209279 -0.294429 0.384215
"F_1956" "F_1956" 0.770306 0.169665 -1.35381 0.0878991
"F_1957" "F_1957" 0.689945 0.15977 -1.94063 0.0261515
"F_1958" "F_1958" 1.15832 0.26201 0.604269 0.727168
"F_1959" "F_1959" 1.0237 0.238918 0.099187 0.539505
"F_1960" "F_1960" 1.10174 0.263167 0.386597 0.650473
"F_1961" "F_1961" 1.80672 0.443665 1.81832 0.965492
"F_1962" "F_1962" 1.69275 0.427959 1.61873 0.947248
"F_1963" "F_1963" 1.9351 0.501479 1.86469 0.968888
"F_1964" "F_1964" 1.02479 0.252385 0.0982128 0.539118
"F_1965" "F_1965" 1.13231 0.254121 0.52065 0.698695
"F_1966" "F_1966" 1.41854 0.34524 1.21232 0.887304
"F_1967" "F_1967" 0.755353 0.173651 -1.40884 0.0794412
"F_1968" "F_1968" 0.601295 0.129078 -3.08886 0.00100469
"F_1969" "F_1969" 0.573361 0.116189 -3.67194 0.00012039
"F_1970" "F_1970" 1.32743 0.266471 1.22878 0.890423
"F_1971" "F_1971" 1.86862 0.454692 1.91035 0.971956
"F_1972" "F_1972" 2.0291 0.568948 1.80878 0.964757
"F_1973" "F_1973" 1.89081 0.521044 1.70966 0.956336
"F_1974" "F_1974" 1.48537 0.381692 1.27163 0.898248
"F_1975" "F_1975" 1.04881 0.229973 0.21225 0.584044
"F_1976" "F_1976" 0.97324 0.212115 -0.126159 0.449803
"F_1977" "F_1977" 0.51699 0.103367 -4.67277 1.48752e-06
"F_1978" "F_1978" 0.995315 0.184952 -0.0253316 0.489895
"F_1979" "F_1979" 1.07289 0.216728 0.336333 0.63169
"F_1980" "F_1980" 0.73819 0.139307 -1.87938 0.0300965
"F_1981" "F_1981" 1.40898 0.242511 1.68645 0.954145
"F_1982" "F_1982" 1.76012 0.348819 2.17914 0.985339
