"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_2008" "Recr_2008" 101.289 14.6767 NA NA
"Recr_2009" "Recr_2009" 78.65 11.294 NA NA
"Recr_2010" "Recr_2010" 76.0648 10.3894 NA NA
"Recr_2011" "Recr_2011" 68.424 9.39694 NA NA
"Recr_2012" "Recr_2012" 72.3645 9.46372 NA NA
"Recr_2013" "Recr_2013" 69.2156 7.481 NA NA
"Recr_2014" "Recr_2014" 72.382 7.17413 NA NA
"Recr_2015" "Recr_2015" 62.8414 7.06026 NA NA
"Recr_2016" "Recr_2016" 62.2944 7.24557 NA NA
"Recr_2017" "Recr_2017" 68.2002 7.60276 NA NA
"Recr_2018" "Recr_2018" 56.2301 6.813 NA NA
"Recr_2019" "Recr_2019" 58.111 8.46462 NA NA
"Recr_2020" "Recr_2020" 88.5903 16.6359 NA NA
"Recr_2021" "Recr_2021" 86.614 21.2923 NA NA
"Recr_2022" "Recr_2022" 86.921 21.0932 NA NA
"Recr_2023" "Recr_2023" 92.172 21.7676 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0201677 0.00142986 -685.266 0
"SPRratio_1953" "SPRratio_1953" 0.397261 0.022739 -26.5069 4.49981e-155
"SPRratio_1954" "SPRratio_1954" 1.11932 0.0307724 3.87746 0.999947
"SPRratio_1955" "SPRratio_1955" 0.959113 0.0512865 -0.797232 0.212658
"SPRratio_1956" "SPRratio_1956" 0.896074 0.0552123 -1.8823 0.0298974
"SPRratio_1957" "SPRratio_1957" 0.855072 0.0555772 -2.60769 0.00455786
"SPRratio_1958" "SPRratio_1958" 1.05565 0.0470155 1.18359 0.881712
"SPRratio_1959" "SPRratio_1959" 0.987936 0.0529989 -0.227623 0.40997
"SPRratio_1960" "SPRratio_1960" 1.00376 0.0492307 0.076278 0.530401
"SPRratio_1961" "SPRratio_1961" 1.17263 0.0347616 4.96612 1
"SPRratio_1962" "SPRratio_1962" 1.1596 0.0299655 5.32611 1
"SPRratio_1963" "SPRratio_1963" 1.20374 0.0147051 13.8548 1
"SPRratio_1964" "SPRratio_1964" 1.02124 0.0380941 0.557622 0.711449
"SPRratio_1965" "SPRratio_1965" 1.08692 0.0481054 1.80692 0.964613
"SPRratio_1966" "SPRratio_1966" 1.14057 0.0517841 2.71461 0.996682
"SPRratio_1967" "SPRratio_1967" 0.963299 0.0738318 -0.497095 0.309561
"SPRratio_1968" "SPRratio_1968" 0.837522 0.0774159 -2.09877 0.0179184
"SPRratio_1969" "SPRratio_1969" 0.785302 0.0699919 -3.06748 0.00107944
"SPRratio_1970" "SPRratio_1970" 1.09774 0.0477061 2.04869 0.979754
"SPRratio_1971" "SPRratio_1971" 1.16458 0.0439408 3.74555 0.99991
"SPRratio_1972" "SPRratio_1972" 1.15665 0.0464097 3.37533 0.999631
"SPRratio_1973" "SPRratio_1973" 1.15863 0.047433 3.3443 0.999587
"SPRratio_1974" "SPRratio_1974" 1.13066 0.0549566 2.37744 0.991283
"SPRratio_1975" "SPRratio_1975" 1.08009 0.0604499 1.3249 0.907397
"SPRratio_1976" "SPRratio_1976" 1.04848 0.0618528 0.783779 0.783415
"SPRratio_1977" "SPRratio_1977" 0.823871 0.0686145 -2.56693 0.00513015
"SPRratio_1978" "SPRratio_1978" 1.1017 0.0410801 2.47572 0.993352
"SPRratio_1979" "SPRratio_1979" 1.07339 0.0433007 1.69486 0.954949
"SPRratio_1980" "SPRratio_1980" 0.914057 0.0465273 -1.84714 0.0323632
